Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,298.57867431640625,298.59707369212856,296.4280509440613,297.35632188751407,59151200
2020-01-03,296.31781005859375,297.4482779649145,295.1138287821585,295.16897082170266,77709700
2020-01-06,297.4481506347656,297.53086365867443,294.43357084171026,294.55305455885224,55653900
2020-01-07,296.6119079589844,297.3563535113591,296.16154392332464,296.8784184570126,40496400
2020-01-08,298.1926574707031,299.41500980685026,296.5567118817893,296.80485100475323,68296000
2020-01-09,300.2145690917969,300.2881104865505,299.1760142615381,299.76423322827105,48473300
2020-01-10,299.3506774902344,300.9590521159792,298.8819702432544,300.80282571626174,53029300
2020-01-13,301.4093933105469,301.41856494947825,299.5436800075611,299.97564456775115,47086800
2020-01-14,300.9497985839844,302.0250959058107,300.3891507106997,300.9681699060616,62832800
2020-01-15,301.62994384765625,302.3927605127723,300.77521446379967,300.857927496319,72056600
2020-01-16,304.1391296386719,304.1391296386719,302.788093516071,303.0178613733308,54050300
2020-01-17,305.0856018066406,305.29697016673157,304.0746181894063,304.85583407762454,95846000
2020-01-21,304.4883117675781,305.2970990026753,304.04717549231077,304.1206888555786,77742400
2020-01-22,304.5250549316406,306.004774181987,304.36882853088946,305.3522134207883,48914900
2020-01-23,304.8742980957031,305.2878913528124,302.7512458779067,303.87251385833906,51963000
2020-01-24,302.16302490234375,305.6187415504845,300.867131159291,305.53602850916116,87578400
2020-01-27,297.31951904296875,298.80840982842204,296.54750263746797,296.8875544776239,84062500
2020-01-28,300.4351806640625,301.3174811116688,297.4114287374613,298.7532647585038,63834000
2020-01-29,300.18707275390625,302.0344150990473,299.9848759397723,301.80464726697824,53888900
2020-01-30,301.1612854003906,301.3726819026096,297.3563446952666,298.1099618663056,75491800
2020-01-31,295.69281005859375,300.6925600156886,294.7737387877723,300.53630555860406,113845600
2020-02-03,297.8893737792969,299.76428701237734,297.0622152507649,297.18169900280947,69083000
2020-02-04,302.4295654296875,303.30269428478084,301.19801339312164,301.5196939211996,62573200
2020-02-05,305.92205810546875,306.13345460075504,303.9093177713517,305.3798094066005,65951100
2020-02-06,306.95147705078125,307.14447419187934,305.86695147966657,306.8871353211374,50359700
2020-02-07,305.3154296875,306.96054675693904,304.763981419654,305.8852492800721,64139400
2020-02-10,307.5947570800781,307.6590987986097,304.3872074151827,304.42397811831904,42070000
2020-02-11,308.1278076171875,309.74535379435173,307.5947306349402,308.95496605575715,54864500
2020-02-12,310.1130065917969,310.32437501033536,309.2031070607716,309.5707299192885,43992700
2020-02-13,309.78216552734375,310.7563788470296,308.4035585978453,308.6792687646131,54501900
2020-02-14,310.2784118652344,310.3978955970013,308.9917179227911,310.19569883120136,64582200
2020-02-18,309.47882080078125,310.3427498763755,308.0818147817825,309.2766240373906,57226200
2020-02-19,310.95855712890625,311.63866086497455,310.1681693327002,310.45307917066543,48814700
2020-02-20,309.68109130859375,311.2343240772791,306.6757101530777,310.40713745417844,74163400
2020-02-21,306.49188232421875,308.633305938221,305.6646957831488,308.32082508734413,113788200
2020-02-24,296.3268737792969,306.5653097757287,295.24234872094894,296.98860599802606,161088400
2020-02-25,287.34759521484375,298.3396785364402,286.4652947464969,297.7239165603431,218913200
2020-02-26,286.2906799316406,292.36572712469683,285.5554341878652,288.7537840258982,194773800
2020-02-27,273.43280029296875,286.34573558996914,273.43280029296875,280.7393973292751,284353500
2020-02-28,272.28399658203125,273.7820868720151,262.43155386441146,265.3358217303772,384975800
2020-03-02,284.0757751464844,284.140116875848,270.6297561011494,274.07627384491605,238703600
2020-03-03,275.9419860839844,288.4413626394821,273.48808117123883,284.4525961592411,300139100
2020-03-04,287.5406799316406,287.76127615182116,278.7819301488345,281.3461473436938,176613400
2020-03-05,277.9823303222656,283.5059584618774,275.7306222004587,280.29840822197207,186366800
2020-03-06,273.38690185546875,274.6000825290424,266.74203525960047,269.4257073641197,228667200
2020-03-09,252.03689575195312,261.19083670475067,251.32002136494776,253.02028058245492,309417300
2020-03-10,265.0785217285156,265.1704064081337,251.36596739988065,261.6044337945912,276444100
2020-03-11,252.15631103515625,259.12288505836614,248.95796184312675,257.9832459713507,255316300
2020-03-12,228.03079223632812,245.0795685108551,227.63558426507842,235.2822645959256,392220700
2020-03-13,247.52426147460938,249.50945862560468,228.40757777476827,241.79843782084288,329566100
2020-03-16,220.4392547607422,236.1094090535033,218.1507621974927,221.66160723675378,297240000
2020-03-17,232.34120178222656,235.43848125738805,217.8842157567262,225.2092003066649,262070500
2020-03-18,220.57708740234375,228.26970883784816,209.56661838287255,217.13057041168213,327597100
2020-03-19,221.04583740234375,227.35986688637573,213.42674235496122,219.88781259153706,289322000
2020-03-20,211.52001953125,226.00655045144487,211.2426740307218,224.2130655352576,347158800
2020-03-23,206.11183166503906,212.33354848714328,201.77603885524522,210.956088874792,326025200
2020-03-24,224.7862091064453,225.66447210452836,216.1423717635547,216.71554205167084,235494500
2020-03-25,228.1513214111328,236.9893197754523,221.64301955671172,226.3763299962907,299430300
2020-03-26,241.4730224609375,242.95216075551693,230.2406361801647,230.6751408127049,257632800
2020-03-27,234.28062438964844,241.11249907892116,232.08962154904017,234.14195868064007,224341200
2020-03-30,241.8890380859375,242.61012793433616,234.38230063523434,236.38841101925405,171369500
2020-03-31,238.2835693359375,243.4421304117321,236.8691228947717,240.88134333433513,194881100
2020-04-01,227.5596466064453,238.20036901005358,225.4795766590139,229.25143852312144,189554600
2020-04-02,232.8106689453125,233.59646466353252,226.11746118700083,226.67215213452525,177660400
2020-04-03,229.44558715820312,234.18815120543644,226.69989366837092,231.82148196719587,135561200
2020-04-06,244.85658264160156,246.8349738769701,229.42709743475407,238.3667743839,188061200
2020-04-07,245.10617065429688,254.25847159639784,244.88430558335523,253.50039498701304,201427200
2020-04-08,253.33409118652344,255.15530956081213,245.21719514857037,247.72251655664144,153774500
2020-04-09,257.1890869140625,259.96251332271413,254.66525872559865,256.6158884242292,189999200
2020-04-13,254.84097290039062,256.5512585748749,250.91195120541076,256.2092070825299,114839100
2020-04-14,262.3569030761719,263.38305731179486,254.7022472679955,259.75912924719097,134143400
2020-04-15,256.7823791503906,262.4956321984379,254.65606811529943,256.6067265105817,121775000
2020-04-16,258.0211486816406,258.880904228839,254.93340352632384,258.06736117708954,131798300
2020-04-17,264.99169921875,265.6018282868167,261.0719034946224,263.8268509360191,146684800
2020-04-20,260.3231506347656,265.1304363291384,260.10128545934543,261.26610584306536,100109300
2020-04-21,252.41885375976562,257.04123227317376,251.4758704868643,255.8301713596816,126385700
2020-04-22,258.0211486816406,259.77764670005047,255.99654483645955,257.32779197336646,92951600
2020-04-23,258.00274658203125,262.4957145589587,257.6976819192964,259.30626111198035,104709700
2020-04-24,261.5988464355469,262.27372374086156,257.4664396155413,259.5280302401497,85063200
2020-04-27,265.3706970214844,266.4985583281309,263.1242281918314,263.5864659697561,77896600
2020-04-28,264.150390625,269.39215082857385,263.84529791564745,269.04084563004807,105270000
2020-04-29,271.06549072265625,272.60937743352775,268.4769702518769,269.5123784401886,118745600
2020-04-30,268.5416564941406,271.1671635588947,266.79438423686474,269.6787433160945,122901700
2020-05-01,261.4324645996094,268.70808310699516,260.25836252346903,263.76213297084365,125180000
2020-05-04,262.15350341796875,262.4585678950501,258.04883026800417,259.5372221622892,80873200
2020-05-05,264.57568359375,267.4045767729445,262.2829738679373,264.99170891359046,79569900
2020-05-06,262.78216552734375,266.6741995516781,262.3476609061411,266.28593563394605,73632600
2020-05-07,265.95318603515625,267.894590818744,265.44473564046604,266.01790611092025,75250400
2020-05-08,270.3536682128906,270.82515983445404,267.96850517613757,269.1056204111253,76452400
2020-05-11,270.4090881347656,271.7958014072516,267.9869667995307,268.41221763685536,79514200
2020-05-12,265.0195007324219,272.0177613801392,264.88080678659503,271.60176418094954,95870800
2020-05-13,260.3323669433594,265.5001828038208,257.89173751403956,264.4555207320025,144721100
2020-05-14,263.4477844238281,263.577196323226,252.3725577747012,257.8824520691451,121977900
2020-05-15,264.6589050292969,264.70511752967536,260.09199276661883,261.04420161904505,111146300
2020-05-18,272.7203063964844,274.3381387225652,270.5940237673094,270.91756766232015,119703800
2020-05-19,269.91912841796875,273.83889573576965,269.90064906349505,272.1193847488021,95189300
2020-05-20,274.50457763671875,275.3735870986139,273.24730415902593,273.47842309649246,85861700
2020-05-21,272.609375,275.18866987615843,271.5092467565501,274.37512681753094,78293900
2020-05-22,273.12701416015625,273.30266674300077,271.0746776456966,272.3227250769998,63958200
2020-05-26,276.49212646484375,279.3672600063866,273.1455295921651,279.1268873427951,88951400
2020-05-27,280.6060791015625,280.64306602531383,274.4490681901454,279.3025651137045,104817400
2020-05-28,280.0884094238281,283.6661259386108,279.4135319930636,281.64152185907705,90405200
2020-05-29,281.3363952636719,281.9280449221516,276.85268337707157,279.6168561365591,119090800
2020-06-01,282.4735412597656,283.0836986125022,280.1716057752101,280.68930991460604,55758300
2020-06-02,284.8123779296875,284.85861862881694,282.0574592057164,283.39793165094864,74267200
2020-06-03,288.602783203125,289.5642457172561,286.53196690754055,286.80929829971484,92567600
2020-06-04,287.8448181152344,289.3609722146534,285.73701407873097,287.6136991278425,75794400
2020-06-05,295.2220764160156,297.00630780496124,293.2067260944265,293.2714461666291,150524700
2020-06-08,298.79052734375,298.98465932156773,295.49014265706535,296.03557987943867,73641200
2020-06-09,296.5625,298.8644349394058,295.24047860910855,296.10948782574224,77479200
2020-06-10,294.9077453613281,298.04173149522336,294.18665545102397,297.14498894664877,95000800
2020-06-11,277.9065856933594,288.57504159924287,277.35192292528046,287.93715120319683,209243600
2020-06-12,281.23468017578125,285.7368712862336,276.04838623260395,284.96031526220054,194678900
2020-06-15,283.8602600097656,284.99737530784336,274.3289175442653,275.5122453434782,135782700
2020-06-16,289.3238220214844,291.8014376099941,284.4333673209817,291.6535181559971,137627500
2020-06-17,288.1220703125,290.645898869627,287.38247290117295,290.35005990509615,83398900
2020-06-18,288.2329406738281,288.7136577278904,286.13439166083936,286.5966293633898,80828700
2020-06-19,286.5857849121094,291.91561749580717,284.62654267087413,291.7206312233792,135549600
2020-06-22,288.4242858886719,288.8235529429476,284.8308257263718,285.9822110315052,74649400
2020-06-23,289.7520446777344,292.0269880337447,289.3434831906394,291.0891498469716,68471200
2020-06-24,282.3608703613281,288.3221338064177,280.51307733506786,287.6999970150494,132813500
2020-06-25,285.3880310058594,285.65731672561384,279.7517615929787,281.7852754118802,89468000
2020-06-26,278.6095275878906,284.49651961908336,278.02456885624247,284.2829443654656,127961000
