Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2020-03-16,312.8573913574219,329.74896595786475,309.99397824703175,322.629809755306,1569300
2020-03-17,338.67193603515625,348.7245451799161,311.20235099147635,320.67701848665274,1609700
2020-03-18,326.93804931640625,327.9976224867815,283.6977634591465,312.7610671894125,1969400
2020-03-19,347.9539489746094,363.53202415503034,307.620853969852,321.6227441196755,1593700
2020-03-20,310.61566162109375,352.36733172740384,307.32315508909045,351.1501721678529,1363100
2020-03-23,286.7099914550781,310.61561403722783,285.71172141443407,310.61561403722783,1422800
2020-03-24,325.48443603515625,326.67532667446795,303.233802621116,305.8695340331516,1319600
2020-03-25,351.47412109375,385.2835049738589,330.1254223937496,337.04316462713143,1951000
2020-03-26,395.7127380371094,397.98947082761936,355.14321803854676,357.32361384876646,1598200
2020-03-27,380.3360595703125,393.5936309700781,368.7597755205115,375.257216909418,1044200
2020-03-30,398.7337341308594,399.5218266360314,380.48489379332017,383.5409535705901,1177300
2020-03-31,385.2660217285156,401.6059207134333,382.6565325037401,395.7039519044642,1389200
2020-04-01,358.61968994140625,371.7196249543678,351.9295995297147,366.1241152993146,1163700
2020-04-02,373.4971618652344,379.9245358088005,355.6861499169696,357.4287136447396,649300
2020-04-03,366.08905029296875,379.1452107084497,359.9243649600978,373.65477739512767,612600
2020-04-06,393.6286926269531,396.65851100843514,379.512985298667,387.0524704670653,957900
2020-04-07,388.02435302734375,410.74785187334385,387.0261096401972,410.6865489599423,831100
2020-04-08,394.89837646484375,398.9877409806417,386.71967415640455,390.3799449434477,772300
2020-04-09,412.8056945800781,419.17176470628505,401.4307966411266,402.8055960673484,1154600
2020-04-13,396.1418151855469,411.77240273316573,393.39221625041586,410.5639816329186,689100
2020-04-14,401.0804443359375,409.8020516739533,399.72317561036056,408.75127074151754,566300
2020-04-15,387.9806213378906,394.92463342332877,385.2923252910524,387.4727210350396,590400
2020-04-16,401.9211730957031,405.3012513965411,389.53052783725644,389.8370157056386,764900
2020-04-17,417.5780944824219,424.425796771771,410.9931075572408,417.09648973285056,977200
2020-04-20,412.2628173828125,416.15076972593283,406.4396540641492,409.6708580617851,589500
2020-04-21,415.3888244628906,418.2347331278577,396.9648421155138,402.8668370262958,1200700
2020-04-22,421.1944580078125,427.21903166208966,416.4133392102056,424.1016694121915,842800
2020-04-23,412.6130676269531,424.48707451302903,410.9580491172994,421.47478690007966,512300
2020-04-24,416.06317138671875,416.842498760868,411.24701746981464,416.842498760868,517600
2020-04-27,434.8987121582031,436.2122087377949,417.7444500355134,421.25587277636544,613900
2020-04-28,435.87945556640625,447.2806230734923,433.2437239135106,444.89881485405886,655700
2020-04-29,447.8060302734375,451.84283032969415,438.34883872101494,447.1755508366093,638000
2020-04-30,439.61859130859375,444.7850062583092,435.9145210365468,438.9180437093634,580300
2020-05-01,423.961669921875,431.2384387903065,423.0772403456339,430.31900187949697,526300
2020-05-04,421.6411437988281,423.56758930788203,414.28554198359825,419.4432177597838,634900
2020-05-05,425.1263122558594,432.3418052745691,424.5921697848381,427.4205487688729,525900
2020-05-06,423.2961730957031,430.5642037780351,417.4029686823809,428.83914381062425,520900
2020-05-07,435.5467224121094,440.2928084261536,431.9915004144831,433.340031053365,537100
2020-05-08,436.76385498046875,443.08615253417105,434.87241681425576,442.6745892287013,450500
2020-05-11,431.798828125,435.36278838795204,427.8846341952495,431.0632732891516,699600
2020-05-12,397.9368591308594,414.4869079125556,395.2310598376191,414.040310599008,3499000
2020-05-13,425.3977355957031,430.63421809126373,399.7407805250858,402.79684059149105,9666100
2020-05-14,436.2558898925781,437.95468048015795,412.8318738976187,421.19445583459697,11804100
2020-05-15,449.8551025390625,451.4838791139887,429.5309371546947,433.45392370064604,5957000
2020-05-18,452.2193298339844,463.0425282765863,450.60813737425144,454.4697936070214,5587200
2020-05-19,438.8830261230469,451.4750849916049,436.8076789617514,448.7430162263018,2099700
2020-05-20,445.4855041503906,449.21584309475145,440.8619971266458,446.20355538137073,1496400
2020-05-21,445.2840881347656,446.2648279331859,441.4661776644522,444.9075321538518,1007600
2020-05-22,449.478515625,449.7149621104516,440.4591831990532,443.0861763394054,632700
2020-05-26,458.5242004394531,464.2335500079239,456.5801974826833,459.72385651312476,1064300
2020-05-27,469.706298828125,470.53813706209274,460.0126897088136,469.5749278194452,1182100
2020-05-28,470.0915832519531,481.61530037733695,468.4891028330063,480.28427371711444,1132800
2020-05-29,462.9111633300781,468.04254302329525,455.82701601004004,464.7062643586802,1159300
2020-06-01,471.30877685546875,475.582022894948,461.23863745313093,462.35074821168564,668000
2020-06-02,474.0321044921875,479.6626191572036,471.4838916169002,476.71163493605104,846800
2020-06-03,479.61016845703125,483.314211771558,475.31939151231177,481.61542069525314,1071500
